	Spearman	pvalue
MICB	0.3783	0.0
MICU1	0.1232	0.1999
MICU2	-0.3494	0.0002
MICU3	-0.1931	0.0432
MID1	-0.1815	0.0577
MID1IP1	0.4167	0.0
MID1IP1-AS1	0.0988	0.3045
MID2	-0.1629	0.089
MIDN	0.0801	0.4054
MIEF1	-0.0047	0.9613
MIEF2	-0.2454	0.0098
MIEN1	0.3802	0.0
MIER1	-0.131	0.1726
MIER2	0.3058	0.0012
MIER3	-0.5132	0.0
MIF	0.1644	0.086
MIF-AS1	-0.155	0.1058
MIF4GD	0.4402	0.0
MIIP	0.3083	0.001
MILR1	0.8118	0.0
MINA	-0.1334	0.1648
MINK1	-0.0363	0.7068
MINOS1	0.3458	0.0002
MINPP1	0.0348	0.7183
MIOS	-0.592	0.0
MIPEP	-0.3819	0.0
MIPEPP3	-0.3775	0.0
MIPOL1	-0.5116	0.0
MIR143HG	-0.4961	0.0
MIR155HG	0.3071	0.0011
MIR17HG	-0.118	0.2196
MIR205HG	-0.2872	0.0024
MIR210HG	0.1387	0.1486
MIR222HG	0.099	0.3033
MIR22HG	0.3687	0.0001
MIR3936	-0.3304	0.0004
MIR4435-1HG	0.6564	0.0
MIR4442	-0.1841	0.0541
MIR4458HG	-0.1824	0.0565
MIR4664	-0.3796	0.0
MIR4697HG	-0.0878	0.3617
MIR497HG	0.3476	0.0002
MIR503HG	-0.0128	0.8945
MIR568	-0.0291	0.7632
MIR570	-0.2729	0.0039
MIR600HG	-0.1259	0.19
MIR621	-0.3286	0.0005
MIR635	0.089	0.355
MIR647	-0.1103	0.2515
MIR762HG	0.0595	0.5367
MIR99AHG	-0.2018	0.0345
MIRLET7BHG	0.1598	0.0953
MIS12	-0.218	0.0222
MIS18A	-0.3351	0.0003
MIS18BP1	-0.2864	0.0024
MISP	-0.0438	0.6492
MITD1	-0.0657	0.4951
MITF	0.2761	0.0035
MKI67	0.1176	0.2212
MKKS	0.2125	0.0258
MKL1	0.0316	0.7428
MKL2	0.0043	0.9648
MKLN1	-0.2468	0.0093
MKLN1-AS	-0.1193	0.2143
MKNK1	0.4857	0.0
MKNK2	0.216	0.0234
MKRN1	-0.3837	0.0
MKRN2	-0.1195	0.2137
MKRN2OS	-0.2726	0.004
MKS1	-0.4364	0.0
MKX	0.0726	0.4512
MLANA	-0.3168	0.0007
MLEC	0.1301	0.1757
MLF1	-0.3408	0.0003
MLF2	0.2881	0.0023
MLH1	0.1257	0.1908
MLH3	-0.3553	0.0001
MLK4	-0.5089	0.0
MLK7-AS1	-0.0927	0.3355
MLKL	0.5154	0.0
MLLT1	0.2519	0.0079
MLLT10	-0.5052	0.0
MLLT11	-0.2281	0.0166
MLLT3	-0.5841	0.0
MLLT4	-0.5731	0.0
MLLT4-AS1	-0.3757	0.0001
MLLT6	-0.2238	0.0188
MLPH	-0.2243	0.0185
MLST8	0.0491	0.6102
MLX	0.1706	0.0748
MLXIP	0.402	0.0
MLXIPL	0.2467	0.0094
MLYCD	0.2512	0.0081
MMAA	-0.437	0.0
MMAB	-0.1515	0.1141
MMACHC	-0.386	0.0
MMADHC	-0.1692	0.0772
MMD	0.3142	0.0008
MME	-0.1675	0.0803
MMEL1	-0.1168	0.2242
MMGT1	-0.0202	0.8338
MMP1	0.2505	0.0083
MMP10	-0.056	0.5612
MMP11	0.3974	0.0
MMP12	0.4022	0.0
MMP13	-0.0186	0.8469
MMP14	0.4951	0.0
MMP15	0.3778	0.0
MMP16	-0.203	0.0334
MMP17	0.3043	0.0012
MMP19	0.5485	0.0
MMP2	0.5817	0.0
MMP24	-0.0109	0.91
MMP24-AS1	0.3604	0.0001
MMP25	0.2101	0.0276
MMP25-AS1	-0.4085	0.0
MMP28	0.4598	0.0
MMP3	0.3088	0.001
MMP7	0.0697	0.4692
MMP9	0.6591	0.0
MMRN1	0.1113	0.2472
MMRN2	0.5375	0.0
MMS19	-0.3864	0.0
MMS22L	-0.5899	0.0
MN1	0.4003	0.0
MNAT1	-0.067	0.4865
MND1	-0.0361	0.708
MNDA	0.775	0.0
MNS1	-0.4865	0.0
MNT	0.0219	0.8207
MOAP1	-0.2536	0.0075
MOB1A	0.1145	0.2336
MOB1B	-0.4792	0.0
MOB2	0.3292	0.0004
MOB3A	0.5953	0.0
MOB3B	-0.3562	0.0001
MOB3C	0.4973	0.0
MOB4	-0.3423	0.0003
MOCOS	-0.232	0.0147
MOCS1	0.0516	0.5924
MOCS2	0.16	0.095
MOCS3	-0.2296	0.0158
MOGAT2	-0.0268	0.7808
MOGS	0.1443	0.1326
MOK	-0.2519	0.0079
MON1A	0.4923	0.0
MON1B	0.2071	0.03
MON2	-0.4328	0.0
MORC2	-0.1233	0.1996
MORC3	-0.3906	0.0
MORC4	0.2187	0.0217
MORF4L1	0.3231	0.0006
MORF4L1P1	0.2255	0.0179
MORF4L2	-0.1111	0.2478
MORF4L2-AS1	-0.4275	0.0
MORN1	-0.2489	0.0087
MORN2	0.0285	0.7676
MORN3	-0.1295	0.1776
MORN4	-0.3767	0.0
MOSPD1	-0.3061	0.0011
MOSPD2	-0.0229	0.8122
MOSPD3	0.2367	0.0128
MOV10	0.0394	0.6831
MOV10L1	0.0942	0.3276
MOXD1	0.4355	0.0
MPC1	0.223	0.0192
MPC2	0.1507	0.116
MPDU1	0.4132	0.0
MPDZ	-0.1451	0.1305
MPEG1	0.7383	0.0
MPG	0.3536	0.0002
MPHOSPH10	-0.3347	0.0004
MPHOSPH6	-0.2437	0.0103
MPHOSPH8	-0.3132	0.0009
MPHOSPH9	-0.1863	0.0514
MPI	0.0895	0.3522
MPLKIP	0.0688	0.475
MPND	0.2949	0.0018
MPP1	0.6288	0.0
MPP2	-0.3143	0.0008
MPP3	-0.1529	0.1108
MPP5	-0.4974	0.0
MPP6	-0.1658	0.0835
MPP7	-0.5225	0.0
MPPE1	0.2419	0.0109
MPPED2	-0.3658	0.0001
MPRIP	0.1229	0.2007
MPST	0.2699	0.0044
MPV17	0.3729	0.0001
MPV17L	-0.3883	0.0
MPV17L2	0.3562	0.0001
MPZ	0.3934	0.0
MPZL1	-0.0965	0.3159
MPZL2	-0.0615	0.523
MPZL3	-0.3005	0.0014
MR1	0.0275	0.7759
MRAP2	-0.1936	0.0428
MRAS	0.3185	0.0007
MRC1	0.5878	0.0
MRC2	0.5256	0.0
MRE11A	-0.4844	0.0
MREG	-0.2855	0.0025
MRFAP1	0.2942	0.0018
MRFAP1L1	-0.1216	0.2058
MRGBP	0.0675	0.4833
MRGPRF	0.5589	0.0
MRI1	-0.2094	0.0281
MRM1	0.0699	0.4681
MRO	0.4431	0.0
MROH1	0.0264	0.7847
MROH6	0.09	0.3499
MROH8	0.2084	0.0289
MRPL1	0.0338	0.7262
MRPL10	0.1228	0.2013
MRPL11	0.2522	0.0079
MRPL12	0.2682	0.0046
MRPL13	0.2007	0.0355
MRPL14	0.2928	0.0019
MRPL15	0.2608	0.0059
MRPL16	0.3398	0.0003
MRPL17	0.4119	0.0
MRPL18	0.2485	0.0088
MRPL19	-0.1223	0.2029
MRPL2	0.272	0.004
MRPL20	0.3816	0.0
MRPL21	0.0622	0.5187
MRPL22	0.2644	0.0052
MRPL23	0.2781	0.0033
MRPL24	0.3398	0.0003
MRPL27	0.4292	0.0
MRPL28	0.3796	0.0
MRPL3	-0.2049	0.0318
MRPL30	-0.3938	0.0
MRPL32	0.0176	0.8551
MRPL33	0.1999	0.0363
MRPL34	0.4098	0.0
MRPL35	-0.0531	0.5816
MRPL36	0.3254	0.0005
MRPL37	0.1241	0.1965
MRPL38	0.0852	0.376
MRPL39	-0.0445	0.6441
MRPL4	0.3124	0.0009
MRPL40	0.2731	0.0039
MRPL41	0.3496	0.0002
MRPL42	-0.3713	0.0001
MRPL43	0.2088	0.0286
MRPL44	-0.0162	0.8663
MRPL45	-0.325	0.0005
MRPL46	0.3052	0.0012
MRPL47	0.2975	0.0016
MRPL48	0.0519	0.5899
MRPL49	-0.1864	0.0513
MRPL50	-0.3413	0.0003
MRPL51	0.308	0.0011
MRPL52	0.2879	0.0023
MRPL53	0.0726	0.4513
MRPL54	0.3271	0.0005
MRPL55	0.238	0.0123
MRPL57	-0.0088	0.9276
MRPL9	0.1096	0.2544
MRPS10	0.098	0.3083
MRPS11	0.435	0.0
MRPS12	0.3123	0.0009
MRPS14	-0.0063	0.9477
MRPS15	0.2861	0.0024
MRPS16	0.1719	0.0725
MRPS17	-0.0364	0.7055
MRPS18A	0.1901	0.0466
MRPS18B	0.1436	0.1344
MRPS18C	0.2281	0.0165
MRPS2	-0.0702	0.4661
MRPS21	0.1434	0.1349
MRPS22	0.0838	0.384
MRPS23	0.1094	0.2553
MRPS24	0.3021	0.0013
MRPS25	-0.0879	0.3612
MRPS26	0.1264	0.1883
MRPS27	-0.3603	0.0001
MRPS28	0.2733	0.0039
MRPS30	-0.4169	0.0
MRPS31	-0.3997	0.0
MRPS31P4	-0.4517	0.0
MRPS31P5	-0.46	0.0
MRPS33	-0.0948	0.3245
MRPS34	0.2206	0.0206
MRPS35	-0.4252	0.0
MRPS36	0.1273	0.1851
MRPS5	0.2358	0.0131
MRPS6	0.2343	0.0138
MRPS7	0.2494	0.0086
MRPS9	-0.1032	0.2834
MRRF	-0.4027	0.0
MRS2	-0.0999	0.2992
MRTO4	0.0585	0.5435
MRVI1	0.1266	0.1874
MS4A1	0.1029	0.2846
MS4A14	0.6121	0.0
MS4A2	0.4126	0.0
MS4A4A	0.7171	0.0
MS4A6A	0.7974	0.0
MS4A7	0.6002	0.0
MSANTD1	0.0217	0.8217
MSANTD2	-0.3247	0.0005
MSANTD3	0.4535	0.0
MSANTD4	-0.0011	0.9907
MSC	0.6912	0.0
MSH2	-0.6015	0.0
MSH3	-0.2213	0.0202
MSH5	-0.1839	0.0545
MSH5-SAPCD1	-0.0586	0.5428
MSH6	-0.4833	0.0
MSI1	-0.2395	0.0117
MSI2	-0.5812	0.0
MSL1	-0.1962	0.04
MSL2	-0.4687	0.0
MSL3	0.2737	0.0038
MSLN	-0.0393	0.6835
MSMB	-0.0574	0.5516
MSMO1	-0.2716	0.0041
MSN	0.592	0.0
MSR1	0.779	0.0
MSRA	0.4632	0.0
MSRB1	0.4275	0.0
MSRB2	0.422	0.0
MSRB3	0.1979	0.0382
MSS51	-0.0019	0.984
MST1	-0.2223	0.0196
MST1L	-0.358	0.0001
MST1P2	-0.2263	0.0174
MST1R	-0.1926	0.0438
MSTO1	0.4565	0.0
MSTO2P	-0.3173	0.0007
MSX1	0.5238	0.0
MSX2	-0.3245	0.0005
MT-ATP6	0.1652	0.0846
MT-ATP8	0.1135	0.2376
MT-CO1	0.1753	0.067
MT-CO2	0.2268	0.0172
MT-CO3	0.1401	0.1445
MT-CYB	0.1684	0.0787
MT-ND1	0.195	0.0412
MT-ND2	0.1966	0.0396
MT-ND3	0.2331	0.0143
MT-ND4	0.1642	0.0865
MT-ND4L	0.0617	0.5221
MT-ND5	0.1213	0.2067
MT-ND6	0.2461	0.0095
MT-RNR1	0.1164	0.226
MT-RNR2	0.0816	0.3965
MT-TC	0.0864	0.3696
MT-TP	-0.2342	0.0138
MT-TY	0.1363	0.1556
MT1A	0.4691	0.0
MT1E	0.0033	0.973
MT1F	0.0419	0.6639
MT1G	-0.1544	0.1072
MT1L	0.4027	0.0
MT1M	0.4062	0.0
MT1X	0.0334	0.7293
MT2A	0.1846	0.0535
MTA1	0.0347	0.7192
MTA2	0.4846	0.0
MTA3	-0.4301	0.0
MTAP	-0.5109	0.0
MTATP6P1	0.2245	0.0184
MTBP	-0.514	0.0
MTCH1	0.4015	0.0
MTCH2	0.3526	0.0002
MTCL1	-0.169	0.0776
MTCP1	-0.1179	0.2201
MTDH	-0.0892	0.3543
MTERF1	-0.4861	0.0
MTERF2	-0.4759	0.0
MTERF3	0.1391	0.1472
MTERF4	-0.4518	0.0
MTF1	-0.2427	0.0106
MTF2	-0.5039	0.0
MTFMT	-0.0891	0.3544
MTFP1	0.1379	0.1507
MTFR1	-0.0737	0.4442
MTFR1L	0.0761	0.4294
MTFR2	0.253	0.0077
MTG1	-0.0836	0.385
MTG2	-0.0492	0.6095
MTHFD1	0.1397	0.1455
MTHFD1L	0.4909	0.0
MTHFD2	-0.0675	0.4833
MTHFD2L	-0.5161	0.0
MTHFR	0.1318	0.1698
MTHFS	0.2031	0.0333
MTHFSD	-0.1816	0.0576
MTIF2	-0.3265	0.0005
MTIF3	0.2283	0.0164
MTL5	-0.4019	0.0
MTM1	-0.1505	0.1166
MTMR1	-0.4606	0.0
MTMR10	-0.0278	0.7732
MTMR11	-0.0581	0.5464
MTMR12	-0.2039	0.0327
MTMR14	0.3689	0.0001
MTMR2	0.0944	0.3267
MTMR3	0.0629	0.5137
MTMR4	-0.5618	0.0
MTMR6	-0.2175	0.0224
MTMR7	-0.3298	0.0004
MTMR8	-0.2086	0.0288
MTMR9	-0.0663	0.4916
MTMR9LP	0.2576	0.0066
MTND1P23	0.244	0.0102
MTND2P28	0.0671	0.4859
MTND4P12	0.0229	0.8124
MTND5P11	0.2288	0.0162
MTO1	-0.3998	0.0
MTOR	-0.1394	0.1464
MTPAP	-0.4762	0.0
MTPN	0.0464	0.63
MTR	-0.216	0.0234
MTRF1	-0.3171	0.0007
MTRF1L	-0.0089	0.9265
MTRNR2L12	0.0235	0.8074
MTRNR2L8	0.1071	0.2655
MTRR	-0.1677	0.0799
MTSS1	0.0978	0.3092
MTSS1L	-0.1741	0.0689
MTURN	0.2094	0.0282
MTUS1	-0.2523	0.0078
MTUS2	-0.0448	0.6423
MTX1	0.4048	0.0
MTX1P1	0.1921	0.0444
MTX2	0.0473	0.6239
MTX3	-0.4723	0.0
MUC1	-0.0901	0.3495
MUC15	-0.3008	0.0014
MUC16	0.0194	0.8402
MUC20	-0.1074	0.2639
MUC3A	0.3554	0.0001
MUC4	-0.0725	0.4518
MUC5B	0.0649	0.5008
MUC6	-0.237	0.0127
MUCL1	-0.203	0.0334
MUL1	0.3021	0.0013
MUM1	0.281	0.0029
MUM1L1	-0.0153	0.8741
MURC	0.0841	0.3826
MUS81	0.0496	0.6069
MUT	-0.3483	0.0002
MUTYH	0.0131	0.8918
MVB12A	0.3618	0.0001
MVB12B	0.3727	0.0001
MVD	0.1503	0.1171
MVK	-0.092	0.3389
MVP	0.6704	0.0
MX1	0.512	0.0
MX2	0.5792	0.0
MXD1	-0.3685	0.0001
MXD3	0.1756	0.0666
MXD4	0.3584	0.0001
MXI1	-0.657	0.0
MXRA5	0.2152	0.024
MXRA5Y	0.2155	0.0238
MXRA7	0.4054	0.0
MXRA8	0.5179	0.0
MYADM	0.1579	0.0995
MYB	-0.3661	0.0001
MYBBP1A	-0.0695	0.4706
MYBL1	-0.2102	0.0275
MYBL2	0.1226	0.202
MYBPC1	-0.205	0.0317
MYC	-0.154	0.1083
MYCBP	-0.1211	0.2075
MYCBP2	0.0212	0.8258
MYCBPAP	-0.148	0.1228
MYCL	-0.1379	0.1507
MYCN	0.1421	0.1386
MYCT1	0.2714	0.0041
MYD88	0.6192	0.0
MYDGF	0.4109	0.0
MYEF2	-0.4767	0.0
MYEOV	-0.0544	0.5721
MYEOV2	0.353	0.0002
MYH10	0.0881	0.3603
MYH11	-0.0666	0.4895
MYH13	0.1099	0.2532
MYH14	-0.0779	0.4188
MYH3	-0.2197	0.0211
MYH7B	-0.0825	0.3914
MYH9	0.251	0.0082
MYL12A	0.4438	0.0
MYL12B	0.3461	0.0002
MYL5	0.1415	0.1404
MYL6	0.5272	0.0
MYL6B	-0.0203	0.8335
MYL9	0.5185	0.0
MYLIP	-0.1382	0.1498
MYLK	-0.3157	0.0008
MYLK-AS1	-0.0585	0.5438
MYLK3	-0.3152	0.0008
MYLK4	-0.4083	0.0
MYNN	-0.4468	0.0
MYO10	-0.3525	0.0002
MYO15A	-0.245	0.0099
MYO15B	-0.041	0.6709
MYO16	0.3247	0.0005
MYO18A	0.0253	0.793
MYO19	-0.2165	0.0231
MYO1B	-0.2552	0.0071
MYO1C	0.4246	0.0
MYO1D	-0.0479	0.6193
MYO1E	0.282	0.0028
MYO1F	0.8729	0.0
MYO1G	0.6331	0.0
MYO1H	-0.2661	0.005
MYO3B	-0.0371	0.7003
MYO5A	0.2971	0.0016
MYO5B	-0.4252	0.0
MYO5C	-0.342	0.0003
MYO6	-0.3735	0.0001
MYO7A	0.6757	0.0
MYO7B	0.4592	0.0
MYO9A	-0.4262	0.0
MYO9B	0.4511	0.0
MYOCD	0.244	0.0102
MYOF	-0.1639	0.0872
MYOM1	0.2188	0.0217
MYOM2	-0.0338	0.726
MYOM3	0.0437	0.6506
MYOT	-0.007	0.9425
MYOZ1	0.0406	0.6738
MYOZ3	-0.1405	0.1433
MYPOP	0.3034	0.0013
MYRF	-0.2865	0.0024
MYRFL	-0.1225	0.2022
MYRIP	0.276	0.0035
MYSM1	-0.5244	0.0
MYZAP	0.3799	0.0
MZB1	0.0426	0.6584
MZF1	-0.2074	0.0297
MZF1-AS1	-0.1213	0.2067
MZT1	-0.2884	0.0022
MZT2A	0.0292	0.7622
MZT2B	0.1861	0.0516
N4BP1	-0.1623	0.0903
N4BP2	-0.5966	0.0
N4BP2L1	-0.4606	0.0
N4BP2L2	-0.6061	0.0
N4BP2L2-IT2	-0.1433	0.1354
N4BP3	-0.2012	0.0351
N6AMT1	-0.3974	0.0
N6AMT2	0.3186	0.0007
NAA10	0.4126	0.0
NAA15	-0.2413	0.0111
NAA16	-0.4849	0.0
NAA20	0.0256	0.7909
NAA25	-0.5505	0.0
NAA30	-0.4331	0.0
NAA35	-0.6009	0.0
NAA38	0.4748	0.0
NAA40	-0.234	0.0139
NAA50	-0.1198	0.2124
NAA60	0.3567	0.0001
NAAA	0.0461	0.6328
NAALAD2	0.1121	0.2436
NAALADL1	0.259	0.0063
NAALADL2	-0.3963	0.0
NAB1	-0.1288	0.1799
NAB2	0.0228	0.8129
NABP1	0.4222	0.0
NABP2	0.2251	0.0181
NACA	-0.2874	0.0023
NACA3P	-0.0207	0.8301
NACAD	0.1225	0.2025
NACAP1	-0.0858	0.3728
NACC1	0.2182	0.022
NACC2	0.5014	0.0
NADK	0.5276	0.0
NADK2	-0.4575	0.0
NADSYN1	0.1228	0.2012
NAE1	-0.3603	0.0001
NAF1	-0.4875	0.0
NAGA	0.7409	0.0
NAGK	0.5668	0.0
NAGLU	0.5419	0.0
NAGPA	0.5213	0.0
NAGS	-0.2138	0.0249
NAIF1	0.1191	0.2151
NAIP	0.4412	0.0
NALCN	-0.4247	0.0
NAMPT	-0.0445	0.6443
NAMPTP1	-0.0925	0.3366
NANOS1	0.1858	0.052
NANOS3	0.2899	0.0021
NANP	0.1073	0.2646
NANS	0.3294	0.0004
NAP1L1	-0.1397	0.1455
NAP1L1P1	0.2135	0.0251
NAP1L2	-0.4451	0.0
NAP1L3	-0.1123	0.243
NAP1L4	0.0986	0.3056
NAP1L4P1	-0.3402	0.0003
NAP1L5	0.2137	0.025
NAPA	0.1339	0.163
NAPA-AS1	0.121	0.208
NAPB	-0.4495	0.0
NAPEPLD	-0.3901	0.0
NAPG	-0.2416	0.011
NAPRT	0.3226	0.0006
NAPSA	-0.3909	0.0
NAPSB	0.3959	0.0
NARF	0.4487	0.0
NARFL	0.0201	0.8352
NARS	0.0152	0.8747
NARS2	-0.4509	0.0
NASP	0.1419	0.1393
NAT1	0.0304	0.7524
NAT10	-0.3417	0.0003
NAT14	-0.012	0.9012
NAT6	-0.1269	0.1866
NAT8L	0.296	0.0017
NAT9	0.0203	0.8332
NATD1	0.2008	0.0354
NAV1	0.3654	0.0001
NAV2	-0.4901	0.0
NAV3	-0.0717	0.4566
NBAS	-0.2555	0.0071
NBEA	-0.5544	0.0
NBEAL1	-0.2485	0.0088
NBEAL2	-0.1772	0.0641
NBL1	0.5496	0.0
NBN	-0.2743	0.0037
NBPF1	-0.1984	0.0378
NBPF10	-0.0667	0.4886
NBPF11	-0.5845	0.0
NBPF12	-0.4552	0.0
NBPF14	-0.0826	0.391
NBPF15	-0.4478	0.0
NBPF19	-0.1256	0.191
NBPF25P	-0.0359	0.7099
NBPF26	-0.3016	0.0014
NBPF2P	-0.2248	0.0182
NBPF3	-0.482	0.0
NBPF8	-0.2055	0.0313
NBPF8P	-0.2253	0.018
NBPF9	-0.0755	0.4331
NBR1	-0.485	0.0
NBR2	-0.2736	0.0038
NCALD	-0.1517	0.1136
NCAM1	0.037	0.7008
NCAM2	-0.4024	0.0
NCAPD2	-0.3568	0.0001
NCAPD3	-0.3711	0.0001
NCAPG	0.1164	0.2258
NCAPG2	-0.1676	0.0801
NCAPH	0.2073	0.0298
NCAPH2	0.1587	0.0978
NCBP1	-0.2113	0.0267
NCBP2	-0.001	0.9921
NCBP2-AS2	0.1789	0.0615
NCCRP1	0.0092	0.9237
NCDN	-0.0049	0.9593
NCEH1	0.2155	0.0238
NCF1	0.877	0.0
NCF1B	0.8409	0.0
NCF1C	0.8491	0.0
NCF2	0.8129	0.0
NCF4	0.8763	0.0
NCK1	0.0939	0.3294
NCK1-AS1	0.1179	0.2197
NCK2	-0.061	0.5268
NCKAP1	-0.1474	0.1244
NCKAP1L	0.8341	0.0
NCKAP5	-0.4781	0.0
NCKAP5L	0.4124	0.0
NCKIPSD	0.1392	0.1468
NCL	0.0213	0.8252
NCLN	0.3885	0.0
NCMAP	-0.2223	0.0196
NCOA1	-0.3308	0.0004
NCOA2	-0.6492	0.0
NCOA3	-0.2479	0.009
NCOA4	0.0556	0.5642
NCOA5	-0.248	0.009
NCOA6	-0.4064	0.0
NCOA7	-0.02	0.8355
NCOR1	-0.4872	0.0
NCOR2	-0.0399	0.6788
NCR3LG1	-0.0817	0.3962
NCS1	0.3075	0.0011
NCSTN	0.1014	0.2918
NDC1	-0.3944	0.0
NDC80	0.1777	0.0632
NDE1	-0.0848	0.3784
NDEL1	0.2009	0.0354
NDFIP1	0.0758	0.4315
NDFIP2	-0.4409	0.0
NDN	0.4158	0.0
NDNF	0.1321	0.169
NDNL2	0.275	0.0036
NDOR1	0.1574	0.1006
NDP	0.0079	0.9343
NDRG1	0.4237	0.0
NDRG2	-0.2396	0.0117
NDRG3	-0.1235	0.1986
NDRG4	0.1555	0.1047
NDST1	-0.1347	0.1605
NDST2	0.14	0.1448
NDUFA1	0.3162	0.0008
NDUFA10	-0.0396	0.6815
NDUFA11	0.3869	0.0
NDUFA12	0.3436	0.0002
NDUFA13	0.45	0.0
NDUFA2	0.3673	0.0001
NDUFA3	0.3476	0.0002
NDUFA4	0.2282	0.0165
NDUFA4L2	0.5156	0.0
NDUFA5	-0.2601	0.0061
NDUFA6	0.3743	0.0001
NDUFA6-AS1	-0.5505	0.0
NDUFA8	0.353	0.0002
NDUFA9	0.2549	0.0072
NDUFAB1	0.3051	0.0012
NDUFAF1	0.2499	0.0085
NDUFAF2	0.1862	0.0514
NDUFAF3	0.4387	0.0
NDUFAF4	0.0966	0.3154
NDUFAF5	0.0176	0.8556
NDUFAF6	-0.4411	0.0
NDUFAF7	-0.324	0.0006
NDUFB1	0.3078	0.0011
NDUFB10	0.3337	0.0004
NDUFB11	0.2057	0.0311
NDUFB2	0.505	0.0
NDUFB2-AS1	-0.0415	0.6665
NDUFB3	0.3621	0.0001
NDUFB4	0.2242	0.0185
NDUFB5	0.1446	0.1318
NDUFB6	0.3223	0.0006
NDUFB7	0.3829	0.0
NDUFB8	0.3535	0.0002
NDUFB9	0.314	0.0008
NDUFC1	0.187	0.0504
NDUFC2	0.2087	0.0287
NDUFS1	-0.1685	0.0784
NDUFS2	0.2864	0.0024
NDUFS3	0.2823	0.0028
NDUFS4	0.1042	0.2785
NDUFS5	0.2974	0.0016
NDUFS6	0.4108	0.0
NDUFS7	0.3412	0.0003
NDUFS8	0.4128	0.0
NDUFV1	0.1929	0.0434
NDUFV2	0.2152	0.0239
NDUFV2-AS1	0.1057	0.2716
NDUFV2P1	-0.0952	0.3226
NDUFV3	0.3069	0.0011
NEAT1	0.0532	0.5807
NEB	-0.4404	0.0
NEBL	-0.5398	0.0
NEBL-AS1	-0.3283	0.0005
NECAB1	-0.073	0.4485
NECAB2	0.255	0.0072
NECAB3	-0.0634	0.5108
NECAP1	-0.4254	0.0
NECAP2	0.6692	0.0
NEDD1	-0.4828	0.0
NEDD4	-0.2542	0.0074
NEDD4L	-0.7257	0.0
NEDD8	0.4681	0.0
NEDD9	-0.0986	0.3052
NEFH	-0.0345	0.7202
NEGR1	0.3612	0.0001
NEIL1	-0.1473	0.1246
NEIL2	0.4817	0.0
NEIL3	0.0821	0.3937
NEK1	-0.3225	0.0006
NEK10	-0.2961	0.0017
NEK11	-0.2338	0.014
NEK2	0.0794	0.4096
NEK3	0.1781	0.0626
NEK4	-0.549	0.0
NEK5	-0.4514	0.0
NEK6	0.1292	0.1785
NEK7	0.2014	0.0349
NEK8	-0.2191	0.0215
NEK9	-0.0502	0.6027
NELFA	-0.0612	0.5256
NELFB	0.2495	0.0086
NELFCD	-0.2709	0.0042
NELFE	0.3037	0.0013
NELL2	-0.0834	0.3862
NEMF	-0.2767	0.0034
NENF	0.3384	0.0003
NEO1	-0.5593	0.0
NES	-0.0145	0.8801
NET1	-0.146	0.128
NETO2	-0.317	0.0007
NEU1	0.2372	0.0126
NEU3	-0.5214	0.0
NEURL1	-0.1531	0.1104
NEURL1B	0.4049	0.0
NEURL2	-0.0364	0.7058
NEURL3	-0.1779	0.063
NEURL4	-0.1904	0.0463
NEXN	0.2174	0.0225
NF1	-0.493	0.0
NF2	0.3073	0.0011
NFAM1	0.9307	0.0
NFASC	-0.3495	0.0002
NFAT5	-0.4376	0.0
NFATC1	0.4477	0.0
NFATC2	0.2415	0.011
NFATC2IP	-0.3746	0.0001
NFATC3	-0.0864	0.3697
NFATC4	0.3616	0.0001
NFE2	0.481	0.0
NFE2L1	0.3563	0.0001
NFE2L2	-0.012	0.9009
NFE2L3	0.3473	0.0002
NFIA	0.1111	0.2481
NFIB	-0.4364	0.0
NFIC	0.1807	0.0589
NFIL3	0.1135	0.238
NFIX	-0.0143	0.8823
NFKB1	0.2247	0.0183
NFKB2	0.3613	0.0001
NFKBIA	0.209	0.0284
NFKBIB	0.4148	0.0
NFKBID	0.3675	0.0001
NFKBIE	0.306	0.0011
NFKBIL1	0.0351	0.7162
NFKBIZ	-0.0919	0.3396
NFRKB	-0.5627	0.0
NFS1	-0.1365	0.1552
NFU1	0.2018	0.0345
NFX1	-0.5346	0.0
NFXL1	-0.5861	0.0
NFYA	-0.5658	0.0
NFYB	-0.0039	0.9679
NFYC	-0.335	0.0003
NFYC-AS1	-0.4187	0.0
NGDN	-0.2081	0.0291
NGEF	-0.0867	0.3679
NGF	0.3434	0.0002
NGFR	0.0455	0.6372
NGFRAP1	0.2829	0.0027
NGLY1	-0.1776	0.0634
NGRN	0.1455	0.1293
NHEJ1	-0.0228	0.8131
NHLRC1	-0.2301	0.0156
NHLRC2	-0.2186	0.0217
NHLRC3	0.0442	0.6469
NHLRC4	-0.0439	0.6487
NHP2	0.1237	0.198
NHP2L1	0.1843	0.054
NHS	-0.1789	0.0614
NHSL1	0.1484	0.1218
NHSL2	0.005	0.9583
NICN1	-0.1806	0.0591
NID1	0.3092	0.001
NID2	0.2798	0.0031
NIF3L1	-0.2427	0.0106
NIFK	-0.2233	0.019
NIFK-AS1	0.0208	0.8295
NIM1K	0.14	0.1446
NIN	0.0431	0.6545
NINJ1	0.3417	0.0003
NINJ2	0.5524	0.0
NINL	-0.2017	0.0346
NIP7	-0.0075	0.9383
NIPA1	0.0692	0.4725
NIPA2	0.1449	0.1309
NIPAL1	-0.4123	0.0
NIPAL2	-0.2727	0.004
NIPAL3	-0.4717	0.0
NIPAL4	0.0399	0.6792
